C:\Users\keerthana\Downloads\simulator-windows-64\IMG\center_2022_06_29_21_21_37_501.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\left_2022_06_29_21_21_37_501.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\right_2022_06_29_21_21_37_501.jpg, 0, 0, 0, 7.874802E-05
C:\Users\keerthana\Downloads\simulator-windows-64\IMG\center_2022_06_29_21_21_37_606.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\left_2022_06_29_21_21_37_606.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\right_2022_06_29_21_21_37_606.jpg, 0, 0, 0, 7.775228E-05
C:\Users\keerthana\Downloads\simulator-windows-64\IMG\center_2022_06_29_21_21_37_736.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\left_2022_06_29_21_21_37_736.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\right_2022_06_29_21_21_37_736.jpg, 0, 0, 0, 7.766928E-05
C:\Users\keerthana\Downloads\simulator-windows-64\IMG\center_2022_06_29_21_21_37_850.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\left_2022_06_29_21_21_37_850.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\right_2022_06_29_21_21_37_850.jpg, 0, 0, 0, 7.831128E-05
C:\Users\keerthana\Downloads\simulator-windows-64\IMG\center_2022_06_29_21_21_37_958.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\left_2022_06_29_21_21_37_958.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\right_2022_06_29_21_21_37_958.jpg, 0, 0, 0, 7.822258E-05
C:\Users\keerthana\Downloads\simulator-windows-64\IMG\center_2022_06_29_21_21_38_062.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\left_2022_06_29_21_21_38_062.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\right_2022_06_29_21_21_38_062.jpg, 0, 0, 0, 7.800921E-05
C:\Users\keerthana\Downloads\simulator-windows-64\IMG\center_2022_06_29_21_21_38_163.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\left_2022_06_29_21_21_38_163.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\right_2022_06_29_21_21_38_163.jpg, 0, 0, 0, 7.882105E-05
C:\Users\keerthana\Downloads\simulator-windows-64\IMG\center_2022_06_29_21_21_38_268.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\left_2022_06_29_21_21_38_268.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\right_2022_06_29_21_21_38_268.jpg, 0, 0, 0, 7.895422E-05
C:\Users\keerthana\Downloads\simulator-windows-64\IMG\center_2022_06_29_21_21_38_381.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\left_2022_06_29_21_21_38_381.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\right_2022_06_29_21_21_38_381.jpg, 0, 0, 0, 7.955146E-05
C:\Users\keerthana\Downloads\simulator-windows-64\IMG\center_2022_06_29_21_21_38_478.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\left_2022_06_29_21_21_38_478.jpg, C:\Users\keerthana\Downloads\simulator-windows-64\IMG\right_2022_06_29_21_21_38_478.jpg, 0, 0, 0, 7.801403E-05
